seed,sigma,pi_star,dP_fd
0,2.5682769952209,1.6782857042274455,1.6803859246998343
0,2.681018412911787,3.5831411548611936,3.609974850752309
0,2.793759830602674,15.076288277798902,16.72055479249238
1,5.025841498538935,1.9019135107863863,1.8958741385554845
1,5.41275163817709,3.8232617372615425,3.7833776444846023
1,5.799661777815244,5.752432746500695,5.776028318865087
2,2.3560780320803354,1.3937585673788613,1.413500323508572
2,2.493804532914343,3.361505655310839,3.382073949374984
2,2.63153103374835,6.026070990602808,8.962709669771982
3,3.0751929222377563,2.8620243787818316,2.8601715359538105
3,3.305572061285906,6.0186114161400015,6.028161672499266
3,3.5359512003340554,9.33642553884425,9.456507149971713
5,2.8282429392665343,4.382745863135844,4.405879308073253
5,2.961287053218948,9.4412899261452,9.646884633683186
5,3.094331167171362,19.739140170223735,19.86961002882566
6,3.2418046578980104,1.8749458006823025,1.8765960235714374
6,3.571553326609301,4.1539952413145205,4.152052412140819
6,3.901301995320592,6.706611423325321,6.9260268074427245
7,2.506877452322966,1.8304503102715899,1.9872295176308796
7,2.6261278632565075,8.077853954532092,8.323414341972466
7,2.7453782741900485,22.19467331896246,22.250965053539176
8,2.479777721010718,0.784758946937241,0.7867331699470981
8,2.71643498628484,1.5799247819441264,1.5677628358389484
8,2.9530922515589615,6.1254051856598295,6.210753015264174
9,4.189935565026216,2.259640245662927,2.263401009691819
9,4.4548102292130185,5.229467582190736,5.227968639316458
9,4.719684893399821,8.666691061090127,8.67554199680555
10,2.80504248959833,1.9964593510646846,1.9906295059716683
10,3.071735036473992,4.954821023878349,4.9666078596257535
10,3.3384275833496546,8.59358309091015,8.600322174211499
11,2.126603493815458,5.986091911663087,6.064170106301532
11,2.2318408086023296,14.79335744109931,14.885363238134204
11,2.337078123389201,25.231253157287615,25.316139756266267
12,4.240104489918069,1.056210844010196,1.0628169596360237
12,4.615546364775257,2.1363031555436254,2.1234125428782136
12,4.990988239632445,5.5317805658943,5.606852892968277
13,1.485828879626875,1.0867330517844396,1.1187714054457842
13,1.5641364794313153,5.749811726926008,6.899183763268297
13,1.6424440792357555,31.15439408241637,35.300881002547015
14,3.050641639152909,1.3160846597569291,1.3287238392382505
14,3.2481394652616498,3.7388638492441193,3.7763919508985566
14,3.4456372913703905,9.970477732344436,10.666390892878468
15,2.314952504145729,2.220594632384041,2.224540836770217
15,2.516887200242011,4.734661787431851,4.737110769234363
15,2.7188218963382935,7.476759337054856,7.4783259605194985
16,2.861366636695804,3.300399794810153,3.382480316620047
16,2.973995604682486,8.675289324142275,9.082795842336395
16,3.0866245726691677,24.857063821636945,25.166242103675813
17,3.9631760662143183,1.1346487939198402,1.1445739889892081
17,4.21331454889896,2.6372876063749433,2.655399546946171
17,4.463453031583601,9.127568842725887,9.264504373019236
18,3.9488082220355056,3.3011764090777183,3.276033706356145
18,4.147626252083242,6.941587659997758,6.941102930112066
18,4.346444282130979,13.431412260332499,13.439725823616726
19,2.0918201724843333,3.854708214367944,3.9362474019313254
19,2.2130955405694084,9.499044316300477,9.63660307580625
19,2.3343709086544835,20.472975073101544,20.655026230720495
20,2.7635512484981506,2.6382553909619704,2.6502695663634768
20,2.922519274719688,5.996185296526866,6.036703494671087
20,3.081487300941226,10.172196007181368,11.567656274745133
22,4.080018289067532,2.161323713739553,2.163661839662012
22,4.244073183142177,5.5993548113606995,5.609406522506646
22,4.408128077216823,12.827113813129335,12.9873998401996
23,3.610279755618488,4.0463127127817335,4.0801960429404005
23,3.7297837453948492,8.909146027550374,8.931698072235577
23,3.8492877351712105,14.448290638686114,14.46236659135323
24,3.6748287502661166,2.031030842170469,2.0559255991378222
24,4.049484455468105,4.295306414579142,4.292068248076646
24,4.424140160670093,6.849898641028538,6.847269293481588
25,4.201281505401888,1.1770366077729384,1.1811053484407807
25,4.621264044517248,2.644733771862805,2.6404414930161124
25,5.041246583632606,5.054323300853836,5.166866806873998
26,3.2131783248974135,1.1838933217424952,1.178008304782594
26,3.478879799321292,2.470026158987575,2.479303327202018
26,3.7445812737451702,6.927683150916108,7.019675481589616
27,2.7373536328397403,3.4286104861271225,3.4625049002698916
27,2.9008047464132933,8.254030741599289,8.25746749273037
27,3.0642558599868464,15.435419000676545,15.466295255383784
28,1.833502371629511,4.343420088931558,4.370904420127175
28,1.9803614050667606,9.794598213578114,9.81762217145885
28,2.1272204385040103,15.750510678570386,15.858602983202275
29,2.5002849821615722,2.452583689035283,2.447127647529612
29,2.6231798095867016,5.423233136965048,5.428132741000127
29,2.746074637011831,9.54630450995518,10.641733424404407
