seed,sigma,P,regime,Lambda_E,Lambda_X,V_star,feasible
0,0.22841228760547053,0.000000,free,1.1420614380273526,1.6405065576404472,72.0,True
0,0.3570235204926549,-0.000000,free,1.1420614380273526,1.6405065576404472,72.0,True
0,0.4856347533798393,0.000000,free,1.1420614380273526,1.6405065576404472,72.0,True
0,0.6142459862670236,-0.000000,free,1.1420614380273526,1.6405065576404472,72.0,True
0,0.742857219154208,0.000000,free,1.1420614380273526,1.6405065576404472,72.0,True
0,0.8714684520413923,0.000000,free,1.1420614380273526,1.6405065576404472,72.0,True
0,1.000079684928577,0.000000,free,1.1420614380273526,1.6405065576404472,72.0,True
0,1.1286909178157611,0.000000,free,1.1420614380273526,1.6405065576404472,72.0,True
0,1.2573021507029456,0.123554,costly,1.1420614380273526,1.6405065576404472,72.0,True
0,1.38591338359013,0.578268,costly,1.1420614380273526,1.6405065576404472,72.0,True
0,1.5145246164773143,1.412121,costly,1.1420614380273526,1.6405065576404472,72.0,True
0,1.6431358493644987,inf,impossible,1.1420614380273526,1.6405065576404472,72.0,False
0,1.771747082251683,inf,impossible,1.1420614380273526,1.6405065576404472,72.0,False
1,0.4527915233546745,-0.000000,free,2.2639576167733724,3.5531652263382507,72.0,True
1,0.7348437667788942,0.000000,free,2.2639576167733724,3.5531652263382507,72.0,True
1,1.016896010203114,0.000000,free,2.2639576167733724,3.5531652263382507,72.0,True
1,1.2989482536273336,0.000000,free,2.2639576167733724,3.5531652263382507,72.0,True
1,1.5810004970515532,0.000000,free,2.2639576167733724,3.5531652263382507,72.0,True
1,1.8630527404757729,0.000000,free,2.2639576167733724,3.5531652263382507,72.0,True
1,2.145104983899993,0.000000,free,2.2639576167733724,3.5531652263382507,72.0,True
1,2.4271572273242126,0.079867,costly,2.2639576167733724,3.5531652263382507,72.0,True
1,2.709209470748432,0.623962,costly,2.2639576167733724,3.5531652263382507,72.0,True
1,2.991261714172652,1.714534,costly,2.2639576167733724,3.5531652263382507,72.0,True
1,3.2733139575968715,3.365166,costly,2.2639576167733724,3.5531652263382507,72.0,True
1,3.555366201021091,inf,impossible,2.2639576167733724,3.5531652263382507,72.0,False
1,3.837418444445311,inf,impossible,2.2639576167733724,3.5531652263382507,72.0,False
2,0.19609690722305162,-0.000000,free,0.9804845361152581,1.5672173311328392,71.99999999999999,True
2,0.32080505808975285,0.000000,free,0.9804845361152581,1.5672173311328392,71.99999999999999,True
2,0.4455132089564541,0.000000,free,0.9804845361152581,1.5672173311328392,71.99999999999999,True
2,0.5702213598231554,0.000000,free,0.9804845361152581,1.5672173311328392,71.99999999999999,True
2,0.6949295106898565,0.000000,free,0.9804845361152581,1.5672173311328392,71.99999999999999,True
2,0.8196376615565578,0.000000,free,0.9804845361152581,1.5672173311328392,71.99999999999999,True
2,0.9443458124232591,-0.000000,free,0.9804845361152581,1.5672173311328392,71.99999999999999,True
2,1.0690539632899603,0.044472,costly,0.9804845361152581,1.5672173311328392,71.99999999999999,True
2,1.1937621141566614,0.265045,costly,0.9804845361152581,1.5672173311328392,71.99999999999999,True
2,1.3184702650233628,0.686669,costly,0.9804845361152581,1.5672173311328392,71.99999999999999,True
2,1.443178415890064,1.450172,costly,0.9804845361152581,1.5672173311328392,71.99999999999999,True
2,1.5678865667567652,inf,impossible,0.9804845361152581,1.5672173311328392,71.99999999999999,False
2,1.6925947176234666,inf,impossible,0.9804845361152581,1.5672173311328392,71.99999999999999,False
3,0.2504317152250028,0.000000,free,1.2521585761250138,2.1441603842131634,72.0,True
3,0.42253684020210397,0.000000,free,1.2521585761250138,2.1441603842131634,72.0,True
3,0.5946419651792052,0.000000,free,1.2521585761250138,2.1441603842131634,72.0,True
3,0.7667470901563063,0.000000,free,1.2521585761250138,2.1441603842131634,72.0,True
3,0.9388522151334076,0.000000,free,1.2521585761250138,2.1441603842131634,72.0,True
3,1.1109573401105086,0.000000,free,1.2521585761250138,2.1441603842131634,72.0,True
3,1.28306246508761,0.002892,costly,1.2521585761250138,2.1441603842131634,72.0,True
3,1.455167590064711,0.142706,costly,1.2521585761250138,2.1441603842131634,72.0,True
3,1.6272727150418123,0.629327,costly,1.2521585761250138,2.1441603842131634,72.0,True
3,1.7993778400189135,1.741651,costly,1.2521585761250138,2.1441603842131634,72.0,True
3,1.9714829649960146,3.470338,costly,1.2521585761250138,2.1441603842131634,72.0,True
3,2.1435880899731155,6.693971,costly,1.2521585761250138,2.1441603842131634,72.0,True
3,2.3156932149502167,inf,impossible,1.2521585761250138,2.1441603842131634,72.0,False
4,0.2137243606875433,-0.000000,free,1.0686218034377164,1.362562067643787,71.99999999999999,True
4,0.31854458338485553,0.000000,free,1.0686218034377164,1.362562067643787,71.99999999999999,True
4,0.42336480608216776,0.000000,free,1.0686218034377164,1.362562067643787,71.99999999999999,True
4,0.52818502877948,0.000000,free,1.0686218034377164,1.362562067643787,71.99999999999999,True
4,0.6330052514767923,-0.000000,free,1.0686218034377164,1.362562067643787,71.99999999999999,True
4,0.7378254741741045,0.000000,free,1.0686218034377164,1.362562067643787,71.99999999999999,True
4,0.8426456968714168,-0.000000,free,1.0686218034377164,1.362562067643787,71.99999999999999,True
4,0.9474659195687289,-0.000000,free,1.0686218034377164,1.362562067643787,71.99999999999999,True
4,1.0522861422660412,0.000000,free,1.0686218034377164,1.362562067643787,71.99999999999999,True
4,1.1571063649633535,0.066475,costly,1.0686218034377164,1.362562067643787,71.99999999999999,True
4,1.2619265876606658,0.546815,costly,1.0686218034377164,1.362562067643787,71.99999999999999,True
4,1.366746810357978,inf,impossible,1.0686218034377164,1.362562067643787,71.99999999999999,False
4,1.4715670330552901,inf,impossible,1.0686218034377164,1.362562067643787,71.99999999999999,False
